symbol,scale,bin,n_windows,mean_q,mean_r,ci_lo,ci_hi,sd_r,frac_zero_r,mean_duration_s,interior_bin
ETHUSDT,N=2500,12,35692.0,480.61365059397,0.00034661475865914747,0.00033338665010523594,0.0003595763247289991,0.0005380091343694509,0.0029418357054802197,34.97863022526052,true
ETHUSDT,N=2500,13,35693.0,734.9247200291395,0.00043090620005798065,0.0004175228668876399,0.00044481070754238494,0.0005321374726464152,0.0029977866808617937,31.74424615470824,true
ETHUSDT,N=2500,14,23795.0,1132.414215633536,0.0005133203746596736,0.0004968404852606597,0.0005308952515835505,0.0005410067963639407,0.0023534355957133854,25.19477377600334,true
ETHUSDT,N=2500,15,11897.0,1665.6991636547084,0.0005820865394697126,0.000557131966357346,0.0006066106846229229,0.0005745246250099599,0.0021854248970328656,19.186667227032057,false
ETHUSDT,N=2500,16,5949.0,2313.6709378046767,0.0006755826412275704,0.0006470691644738376,0.0007066153391693256,0.0005959341124528362,0.001176668347621449,14.4457402924861,false
ETHUSDT,N=2500,17,3569.0,3241.030953768564,0.0007277595352318311,0.0006938489950794053,0.0007630894604741975,0.000680429226483501,0.002801905295601009,11.892651442981212,false
ETHUSDT,N=2500,18,2380.0,6038.763064285711,0.0008793841764150899,0.0008297259515881503,0.0009274143449566769,0.0008479704835059441,0.0033613445378151263,9.948806722689072,false
ETHUSDT,N=25000,0,238.0,-23336.519878151248,-0.003469320063638823,-0.0037465935864618464,-0.003197386513186892,0.002392874791544128,0.0,85.00791596638656,false
ETHUSDT,N=25000,1,356.0,-15222.922303370791,-0.0028801823896880004,-0.0030961720542956313,-0.002680939329991791,0.00179551390713408,0.0,130.3357275280898,false
ETHUSDT,N=25000,2,594.0,-11819.000375420872,-0.002537691928255255,-0.0027097646308153617,-0.0023720165775133356,0.0018122867131228453,0.0,179.47818686868672,false
ETHUSDT,N=25000,3,1188.0,-8892.424061447822,-0.0022424205266640173,-0.002342659367007818,-0.0021405052751738195,0.0016689025528083294,0.0,214.89237962962991,false
